,srno,mobmake,hubid,hubpincode,pickuppartnerid,deliverypartnerid,insuranceCompanyId,custpincodecategory,claimtype,custpincode,memcreateddate,mobilepurchasedate,claimintdate,servicecntrid,pickupStartdate,Dataset
40,2981162,0,21,110015,233,233,131,0,0,121004,2017-05-05,2017-05-03,2018-03-14,4580,2018-03-21,12.277742415747886
41,3014945,0,26,560066,201,233,131,3,0,630606,2017-12-28,2017-08-01,2018-03-24,5001,2018-03-27,13.694529237187988
42,2999197,1,27,110034,233,233,131,0,0,110095,2017-06-19,2017-06-16,2018-03-19,4388,2018-04-01,13.803062524714784
43,2829017,1,7,500004,233,233,131,0,0,500019,2017-04-25,2017-03-28,2018-02-01,4474,2018-02-08,9.520238160074904
44,2848996,8,3,560011,233,233,131,0,0,560026,2017-12-15,2017-12-15,2018-02-07,4460,2018-02-12,7.947599937602649
45,2870108,0,22,400104,233,233,131,2,0,395006,2017-03-14,2017-03-09,2018-02-14,4581,2018-02-16,14.433504911115612
46,2859591,1,2,110018,233,233,131,0,0,122017,2017-12-22,2017-07-13,2018-02-10,4388,2018-02-15,13.35811151015868
47,2861847,1,3,560011,233,233,228,0,0,560093,2018-01-19,2017-07-09,2018-02-12,4460,2018-02-20,9.720572064230117
48,2880678,1,2,110018,233,233,228,0,0,122017,2018-01-12,2017-02-23,2018-02-17,4388,2018-02-21,11.929998613503837
49,2872297,0,22,400104,233,233,131,1,0,442605,2017-06-08,2017-06-07,2018-02-15,4581,2018-02-18,15.09911268199756
50,2930663,0,21,110015,233,233,131,1,0,141115,2017-06-28,2017-04-14,2018-03-02,4580,2018-03-06,13.188538088657037
51,2936017,1,23,400001,233,233,131,0,0,411023,2017-04-13,2017-04-13,2018-03-03,4398,2018-03-09,13.905903373804383
52,2940545,10,3,560011,233,233,228,0,0,560049,2018-01-16,2017-03-29,2018-03-05,4465,2018-03-07,12.532474731912997
53,2887249,11,9,411016,233,233,228,2,0,414001,2017-08-22,2017-08-03,2018-02-19,4023,2018-03-07,17.845101343096267
54,2978501,12,2,110018,308,233,228,0,0,122003,2018-02-25,2017-04-08,2018-03-14,4092,2018-03-15,11.73168672409721
55,3013507,13,5,380009,201,233,131,3,0,382750,2018-03-07,2018-02-07,2018-03-24,4039,2018-03-31,17.167447114973612
56,3035976,1,6,160059,233,233,228,2,0,160047,2017-07-01,2017-06-14,2018-03-29,4437,2018-03-31,10.276805435505333
57,3057218,0,26,560066,233,233,131,2,0,603002,2017-06-19,2017-06-16,2018-04-05,5001,2018-04-07,12.712089672453436
58,3086262,1,23,400001,233,233,228,0,0,400093,2017-11-24,2017-01-18,2018-04-15,4398,2018-04-16,8.08437156771076
59,3078906,0,22,400104,233,233,131,0,0,401208,2017-07-13,2017-07-10,2018-04-12,4581,2018-04-19,7.081516823985849
60,2822707,0,21,110015,233,245,131,0,0,110007,2017-10-23,2017-10-18,2018-01-31,4580,2018-02-09,10.779181031840482
61,2874119,1,3,560011,233,245,228,2,0,590010,2018-01-13,2017-03-31,2018-02-15,4460,2018-02-21,11.93984719507582
62,2879096,0,11,641012,201,201,131,3,0,691005,2017-11-30,2017-11-24,2018-02-16,4495,2018-02-20,15.70576536237069
63,3041893,11,2,110018,233,233,228,1,0,335001,2017-05-04,2016-11-20,2018-03-31,4093,2018-04-04,18.131348864904247
64,3085048,0,26,560066,233,233,228,0,0,560098,2017-06-09,2016-10-05,2018-04-14,5001,2018-04-16,9.731226973417643
65,2833586,0,21,110015,201,233,131,4,0,331802,2017-04-06,2017-04-03,2018-02-03,4580,2018-02-21,15.116577348453053
66,3029632,1,27,110034,233,233,131,2,0,136027,2017-11-07,2017-09-19,2018-03-28,4388,2018-04-07,14.06653026738915
67,2953931,0,8,700064,233,233,131,0,0,700006,2017-12-14,2017-10-17,2018-03-08,4508,2018-03-10,11.44300933203569
68,2946014,0,4,600024,233,233,131,0,0,600069,2017-10-25,2017-10-14,2018-03-06,4490,2018-03-08,11.008360382103925
69,3011371,1,23,400001,308,233,131,0,0,400070,2017-03-29,2017-03-28,2018-03-23,4398,2018-04-11,10.12866427502596
70,3084072,0,21,110015,233,233,131,0,0,110068,2017-04-17,2017-04-14,2018-04-14,4580,2018-04-17,7.662587719563134
71,2896365,0,8,700064,233,233,228,0,0,700046,2018-01-15,2017-08-12,2018-02-22,4508,2018-02-23,10.984671348917901
72,3021704,2,12,302006,233,233,131,2,0,342001,2017-11-23,2017-11-17,2018-03-26,4453,2018-03-29,14.70206354228995
73,2904158,0,7,500004,233,233,131,0,0,500008,2017-10-06,2017-09-30,2018-02-24,4403,2018-02-27,9.132771380987052
74,3035437,2,2,110018,233,233,228,2,1,125001,2017-01-27,2017-01-12,2018-03-29,4091,2018-04-07,25.624365688265268
75,2870227,0,2,110018,233,233,131,0,0,110085,2017-11-26,2017-11-24,2018-02-14,4147,2018-02-21,11.62052456823861
76,3013338,1,27,110034,308,233,228,0,0,122001,2017-06-04,2017-06-04,2018-03-24,4388,2018-03-27,14.26513914017543
77,2848947,0,21,110015,233,233,131,2,0,131001,2017-05-13,2017-05-05,2018-02-07,4580,2018-02-12,12.258636708312263
78,2846763,1,2,110018,233,233,228,0,0,121006,2017-08-25,2017-08-19,2018-02-06,4388,2018-02-14,12.42656391900952
79,2883269,0,2,110018,233,233,228,0,0,110096,2018-01-02,2017-09-26,2018-02-18,4147,2018-02-23,11.714588810857057
80,2843740,2,12,302006,233,233,228,2,0,334001,2017-10-16,2017-07-13,2018-02-06,4453,2018-02-19,17.250536461663398
81,2904312,14,12,302006,233,233,228,0,0,302026,2018-02-08,2017-02-01,2018-02-24,4459,2018-02-26,13.82237227001591
82,2924654,13,4,600024,233,233,131,0,0,600078,2017-12-17,2017-12-07,2018-02-28,4490,2018-03-09,13.951696186482318
83,2938914,1,2,110018,233,233,228,0,0,201001,2018-02-12,2017-08-08,2018-03-04,4388,2018-03-11,12.414108122773861
84,2822482,7,1,400059,233,233,131,0,0,400705,2017-02-18,2017-02-15,2018-01-31,4581,2018-03-06,9.051704656859757
85,2943376,0,22,400104,233,233,131,0,0,400607,2016-05-19,2016-05-18,2018-03-05,4581,2018-03-09,12.225900391539836
86,2979916,0,21,110015,233,233,131,1,0,143105,2018-02-01,2018-02-01,2018-03-14,4580,2018-03-19,11.77386403697466
87,3041172,0,21,110015,308,233,131,0,0,110051,2017-10-02,2017-10-02,2018-03-31,4580,2018-04-04,8.149197991960634
88,3049892,1,27,110034,233,233,131,0,0,110060,2017-06-16,2017-06-15,2018-04-03,4388,2018-04-05,11.260413683514289
89,3034718,1,25,560037,233,233,131,0,0,600030,2018-01-17,2017-01-16,2018-03-29,4460,2018-04-01,10.745055031939382
90,3054515,1,25,560037,233,233,131,0,0,600092,2017-05-04,2017-05-02,2018-04-04,4460,2018-04-09,11.388965082387676
91,3011372,2,9,411016,233,233,228,0,0,411028,2017-06-11,2015-08-14,2018-03-23,4548,2018-03-31,11.957076026595109
92,2931879,13,5,380009,233,245,131,2,0,360001,2017-12-08,2017-04-08,2018-03-03,4039,2018-03-24,18.383931368475814
93,3061051,1,25,560037,308,245,131,0,0,560048,2017-04-21,2017-04-21,2018-04-06,4460,2018-04-11,8.331365471590154
94,2838851,0,21,110015,233,233,131,0,0,110063,2017-08-14,2017-08-09,2018-02-04,4580,2018-02-06,9.99359542827076
95,2883744,0,21,110015,233,233,131,1,0,143505,2018-01-10,2017-05-03,2018-02-18,4580,2018-02-21,12.716924339379359
96,3003851,0,2,110018,308,245,228,0,0,110017,2018-02-28,2017-09-07,2018-03-21,4580,2018-03-23,8.851593082607646
97,2865482,1,8,700064,233,233,131,0,0,700156,2018-02-09,2018-02-07,2018-02-13,4499,2018-02-16,10.800855837201944
98,2949800,0,7,500004,233,233,131,0,0,500079,2017-05-19,2017-05-17,2018-03-07,4403,2018-03-17,9.356112497812124
99,2909787,12,2,110018,233,233,228,0,0,110043,2017-08-09,2017-02-22,2018-02-26,4092,2018-02-27,11.306940022320589
100,2854751,0,21,110015,233,233,131,0,0,110049,2017-07-06,2017-07-05,2018-02-09,4580,2018-02-12,9.876654126742398
101,2849456,8,3,560011,233,233,131,0,0,560050,2018-01-05,2018-01-05,2018-02-07,4460,2018-02-16,8.172933652351789
102,2932154,8,23,400001,233,233,131,0,0,380022,2018-01-11,2018-01-11,2018-03-03,4398,2018-03-07,13.936601306148347
103,2932154,8,23,400001,233,0,131,0,0,380022,2018-01-11,2018-01-11,2018-03-03,4398,2018-03-07,14.3672178099843
104,2985584,8,23,400001,201,233,131,4,0,453111,2018-02-26,2018-02-26,2018-03-15,4398,2018-03-24,14.500754407538453
105,2854160,0,21,110015,233,233,131,0,0,110084,2017-12-02,2017-11-28,2018-02-09,4580,2018-02-12,9.551530929754675
106,2987955,2,12,302006,233,233,131,2,0,342001,2017-10-13,2016-06-16,2018-03-16,4453,2018-03-20,16.16985887708428
107,3007421,1,23,400001,233,233,131,0,0,411038,2017-05-02,2017-05-02,2018-03-22,4398,2018-03-24,11.550097483860505
108,3053312,8,6,160059,233,233,131,1,0,143001,2017-10-11,2017-10-10,2018-04-04,4437,2018-04-15,10.29823472421771
109,2934361,1,12,302006,233,233,228,2,0,313001,2018-01-29,2017-11-29,2018-03-03,4407,2018-03-05,14.973257145155664
110,2979407,0,22,400104,233,233,131,2,0,361140,2017-10-09,2017-10-06,2018-03-14,4581,2018-03-29,15.162992452397065
111,3001378,2,4,600024,233,233,228,0,0,600019,2018-02-28,2018-02-13,2018-03-20,4483,2018-03-29,12.737407852874323
112,3025387,1,6,160059,233,233,228,1,0,141001,2018-01-04,2017-07-20,2018-03-27,4437,2018-03-31,10.325333109194624
113,2856532,7,1,400059,233,233,131,2,0,452001,2017-02-12,2017-02-09,2018-02-09,4581,2018-02-13,15.521215863188623
114,3030131,0,7,500004,233,233,228,0,0,500072,2018-03-04,2017-07-08,2018-03-28,4403,2018-03-30,7.2262567023245925
115,2821171,2,2,110018,233,233,228,0,0,122015,2017-12-18,2017-10-18,2018-01-30,4094,2018-02-01,14.357452226573603
116,2849313,0,3,560011,233,233,228,0,0,560076,2018-01-09,2017-12-13,2018-02-07,4467,2018-02-12,9.07674646213497
117,2838919,8,8,700064,201,233,131,3,0,711113,2018-01-27,2018-01-27,2018-02-04,4499,2018-02-11,17.819922978500337
118,2839783,0,21,110015,233,233,131,1,0,152123,2017-08-30,2017-08-10,2018-02-05,4580,2018-02-12,12.237210726496505
119,2839783,0,21,110015,233,233,131,1,0,152123,2017-08-30,2017-08-10,2018-02-05,4580,2018-02-12,12.237210726496505
120,2855601,0,17,800001,233,233,131,1,0,834001,2017-10-11,2017-10-06,2018-02-09,4538,2018-02-14,15.925013203511039
121,2868202,0,3,560011,233,233,131,2,0,580032,2018-01-12,2018-01-11,2018-02-14,4467,2018-02-19,12.384838467354713
122,2835214,2,12,302006,233,233,131,0,0,302013,2017-08-10,2017-06-25,2018-02-03,4407,2018-02-16,14.652901691251888
123,2892610,2,2,110018,233,233,131,0,0,122016,2017-09-12,2016-11-28,2018-02-21,4091,2018-02-24,14.792566716798582
124,2906296,0,4,600024,233,233,131,0,0,600096,2017-05-06,2017-05-05,2018-02-25,4490,2018-03-03,8.802695146094191
125,2884859,0,21,110015,201,233,131,4,0,335524,2018-01-10,2017-09-22,2018-02-19,4668,2018-03-07,18.340564237458345
126,3003578,2,2,110018,308,233,228,0,0,110046,2018-03-01,2017-03-25,2018-03-21,4091,2018-03-27,10.644837349234274
127,3036158,0,21,110015,233,233,131,0,0,201301,2017-06-16,2017-06-14,2018-03-29,4580,2018-04-01,8.648507294265313
128,3007060,1,23,400001,233,233,131,0,0,400058,2017-05-04,2017-05-04,2018-03-22,4398,2018-04-02,10.477314744332466
129,2995265,2,3,560011,233,233,228,0,0,560004,2018-03-11,2018-03-11,2018-03-19,4469,2018-03-28,10.628249549748988
130,3048957,1,27,110034,233,233,228,0,0,201009,2017-12-16,2017-07-11,2018-04-03,4388,2018-04-05,11.352596723480465
131,3064024,1,6,160059,233,233,131,2,0,160036,2017-12-16,2017-12-16,2018-04-07,4437,2018-04-10,10.421556481367626
132,3038673,2,1,400059,233,233,131,0,0,400710,2017-11-27,2017-11-17,2018-03-30,4010,2018-04-11,14.191503344691636
133,3054305,0,22,400104,233,233,131,0,0,400080,2017-04-13,2017-04-12,2018-04-04,4581,2018-04-09,9.28032496665478
134,3056252,1,27,110034,233,233,228,0,0,110029,2017-05-09,2017-04-11,2018-04-05,4388,2018-04-17,10.516226428923495
135,2876909,2,2,110018,233,245,131,0,0,110096,2017-09-06,2017-06-20,2018-02-16,4094,2018-02-20,14.110308577755498
136,2862113,0,26,560066,233,245,131,0,0,560040,2016-07-28,2016-07-27,2018-02-12,5001,2018-03-16,11.032972833802127
137,2876160,2,2,110018,233,233,228,0,0,121007,2017-12-27,2017-09-04,2018-02-16,4388,2018-02-21,13.856205781979579
138,3006324,1,6,160059,233,233,131,0,0,160071,2018-01-02,2018-01-02,2018-03-22,4437,2018-03-24,9.791195625046193
139,2835363,0,7,500004,233,233,131,0,0,500089,2017-02-24,2017-02-22,2018-02-03,4403,2018-02-14,9.804464200835051
140,3037453,0,22,400104,233,233,131,1,0,415409,2017-08-24,2017-08-22,2018-03-30,4581,2018-04-03,11.669463764251386
141,2987148,14,3,560011,233,245,131,0,0,560032,2017-10-04,2017-10-04,2018-03-16,4400,2018-03-17,10.419915508076379
142,2910212,0,21,110015,233,233,131,2,0,125050,2017-08-09,2017-02-03,2018-02-26,4580,2018-03-03,16.04599305367907
143,3050106,0,22,400104,233,233,131,2,0,440008,2017-06-30,2016-12-02,2018-04-03,4581,2018-04-13,13.423278387394403
144,2855771,2,7,500004,233,233,131,0,0,500035,2017-10-18,2017-10-17,2018-02-09,4477,2018-02-22,12.189600088927383
145,3003544,0,21,110015,233,233,131,0,0,302020,2017-10-17,2017-10-11,2018-03-21,4580,2018-03-26,11.352641015091681
146,2861488,15,1,400059,233,233,131,0,0,110081,2017-10-24,2017-10-18,2018-02-11,4390,2018-03-05,16.224824300637575
147,3065821,0,21,110015,233,233,131,0,0,122001,2017-09-19,2017-09-12,2018-04-08,4580,2018-04-15,8.483825717450296
148,2835502,0,21,110015,233,233,131,0,0,110041,2017-09-05,2017-05-30,2018-02-03,4580,2018-02-08,9.684531323886546
149,2869153,0,22,400104,233,233,131,2,0,395017,2017-04-13,2017-03-02,2018-02-14,4581,2018-02-19,14.433504911115612
150,2886326,1,3,560011,233,233,131,0,0,560076,2017-12-29,2017-12-29,2018-02-19,4460,2018-02-21,9.19288115417351
151,2882267,16,1,400059,233,233,131,0,0,560106,2018-01-11,2017-06-02,2018-02-17,4011,2018-02-21,18.3652066924726
152,2883958,1,9,411016,233,233,131,0,0,411011,2017-09-04,2017-08-30,2018-02-18,4021,2018-02-21,12.108548915970484
153,2852611,1,1,400059,233,233,131,0,0,400602,2017-06-28,2017-06-28,2018-02-08,4398,2018-02-26,11.522052519673535
154,2836058,17,1,400059,233,233,131,0,0,400710,2017-09-25,2017-09-17,2018-02-03,4011,2018-02-19,17.182726063012772
155,2870588,12,1,400059,233,233,131,2,0,422101,2017-05-26,2017-05-26,2018-02-14,4018,2018-02-24,21.366493225469974
156,2943441,0,17,800001,233,233,131,0,0,800004,2017-06-15,2017-06-13,2018-03-05,4538,2018-03-09,12.889590700078601
157,2949640,2,4,600024,233,233,131,2,0,636005,2017-03-20,2017-03-18,2018-03-07,4492,2018-03-10,13.79712664960365
158,2951215,0,21,110015,233,233,228,2,0,282003,2018-01-22,2017-12-10,2018-03-07,4580,2018-03-17,13.2585332846942
159,3004630,0,21,110015,308,233,131,0,0,110035,2017-08-18,2017-08-17,2018-03-21,4580,2018-03-28,9.338828001690914
160,2973024,0,7,500004,233,233,131,2,0,533003,2017-03-27,2017-03-24,2018-03-12,4403,2018-03-26,13.305449165170408
161,3011239,0,21,110015,233,233,228,0,0,122015,2017-07-06,2017-07-06,2018-03-23,4580,2018-03-30,9.72339102049811
162,3000598,0,21,110015,233,233,228,0,0,201010,2018-03-03,2016-10-06,2018-03-20,4154,2018-03-24,12.113174502218987
163,3030507,0,17,800001,201,233,131,3,0,803215,2017-05-16,2017-05-13,2018-03-28,4538,2018-03-31,13.606442967953411
164,3009461,1,27,110034,233,233,228,0,0,302016,2017-06-02,2017-05-29,2018-03-23,4388,2018-04-01,15.544318589638532
165,3057192,1,27,110034,233,233,131,0,0,110092,2018-01-15,2017-04-30,2018-04-05,4388,2018-04-11,10.941417391408928
166,3074344,1,25,560037,233,245,228,0,0,560091,2018-04-03,2018-03-31,2018-04-11,4460,2018-04-16,8.582079702056037
167,3017312,1,6,160059,233,233,131,2,0,148001,2017-03-28,2017-03-23,2018-03-25,4437,2018-03-30,10.66415118645015
168,2860280,1,2,110018,233,233,228,0,0,121001,2017-08-06,2017-05-20,2018-02-10,4388,2018-02-17,11.622270721567464
169,2832836,1,4,600024,0,233,131,0,0,600116,2017-05-14,2017-05-14,2018-02-02,4482,2018-02-04,9.660379481875903
170,2887534,1,6,160059,233,233,131,2,0,160025,2018-01-31,2018-01-21,2018-02-19,4437,2018-02-28,13.169623412202688
171,2979628,5,1,400059,233,233,131,0,0,110015,2018-02-23,2017-11-15,2018-03-14,4011,2018-03-18,17.06893117497213
172,2879480,0,3,560011,233,233,131,0,0,560029,2016-11-22,2016-11-01,2018-02-17,4147,2018-02-20,11.164304693808274
173,2948011,1,12,302006,233,233,228,0,0,302004,2017-09-17,2017-07-29,2018-03-06,4407,2018-03-17,10.990347057070666
174,2851199,0,3,560011,233,233,131,0,0,560037,2017-03-30,2017-03-30,2018-02-08,4467,2018-02-10,9.544281948712273
175,2985709,12,2,110018,233,233,228,2,0,209801,2017-06-16,2017-06-16,2018-03-15,4092,2018-03-18,19.389326664340942
176,2823550,0,8,700064,233,233,131,2,0,713148,2017-12-27,2016-10-21,2018-01-31,4508,2018-02-04,13.158079287674802
177,2839869,0,7,500004,233,233,131,0,0,500056,2017-03-22,2017-03-21,2018-02-05,4403,2018-02-10,9.804464200835051
178,2845484,0,21,110015,233,233,228,0,0,201305,2018-01-15,2017-03-15,2018-02-06,4580,2018-02-07,10.769836720774125
179,2908320,6,2,110018,233,233,228,0,0,110007,2017-08-06,2016-07-04,2018-02-26,4148,2018-02-28,14.448316744183709
180,2873112,4,2,110018,201,233,228,3,0,388360,2017-08-01,2017-03-31,2018-02-15,4154,2018-02-19,16.789401321664176
181,2904883,2,2,110018,233,233,131,0,0,201304,2017-10-03,2017-09-29,2018-02-24,4094,2018-02-27,15.038771324921385
182,2945258,1,2,110018,233,233,131,0,0,110053,2017-09-08,2017-09-01,2018-03-06,4388,2018-03-13,12.23032385060689
183,2967014,1,2,110018,233,233,228,0,0,110009,2018-02-16,2018-02-06,2018-03-10,4388,2018-03-12,11.773302833115272
184,2950522,0,22,400104,233,233,131,0,0,380052,2017-09-12,2017-09-11,2018-03-07,4581,2018-03-09,12.236135572917407
185,3000380,0,21,110015,233,233,131,1,0,144411,2017-05-20,2017-05-15,2018-03-20,4580,2018-03-22,11.453874471897532
186,2962723,1,2,110018,233,233,131,0,0,110092,2017-04-28,2017-04-24,2018-03-10,4388,2018-03-22,12.464560323745536
187,2962723,1,2,110018,0,233,131,0,0,110092,2017-04-28,2017-04-24,2018-03-10,4388,2018-03-22,12.345506741611537
188,2981246,0,21,110015,233,233,131,0,0,302029,2017-12-15,2017-12-13,2018-03-14,4580,2018-03-23,12.501413236316695
189,2995195,0,26,560066,233,233,131,0,0,641025,2016-05-28,2016-05-01,2018-03-19,4495,2018-03-23,9.304883388240226
190,2973748,2,11,641012,201,0,131,0,0,641025,2017-04-13,2017-04-12,2018-03-13,4492,2018-03-22,12.645640524092995
191,3000612,2,3,560011,233,233,131,2,0,590011,2018-02-27,2018-01-22,2018-03-20,4461,2018-03-23,16.10394334163881
192,2995876,0,17,800001,201,233,131,3,0,815351,2017-10-07,2017-10-05,2018-03-19,4410,2018-04-04,17.340296766243842
193,3081263,0,22,400104,233,233,131,0,0,400607,2017-07-22,2018-04-23,2018-04-13,4581,2018-04-18,7.192211755850951
194,3072387,1,25,560037,308,233,228,0,0,560022,2018-02-18,2017-12-15,2018-04-10,4460,2018-04-18,8.68637270975368
195,2893036,2,3,560011,233,245,228,0,0,560048,2017-11-15,2017-11-12,2018-02-21,4469,2018-02-24,11.815432637245351
196,2889463,0,3,560011,233,233,131,0,0,560023,2017-09-27,2017-09-27,2018-02-20,4467,2018-02-23,9.797003784983245
197,2949420,1,2,110018,233,233,228,0,0,110048,2017-08-17,2018-01-11,2018-03-07,4388,2018-03-14,10.151027031069304
198,3047285,0,26,560066,233,233,131,1,0,635001,2017-12-22,2017-12-14,2018-04-02,5001,2018-04-06,11.024200519677505
199,2851719,0,22,400104,233,233,131,2,0,395003,2017-03-06,2017-03-02,2018-02-08,4581,2018-02-15,14.566206083331375
200,3050820,2,5,380009,233,233,131,2,0,390001,2017-11-27,2017-11-27,2018-04-03,4546,2018-04-14,13.353982463426236
201,2831087,2,1,400059,233,233,131,0,0,401101,2017-11-02,2017-11-02,2018-02-02,4545,2018-02-06,12.38342683303163
202,3025646,0,22,400104,233,233,131,0,0,421204,2017-04-10,2017-04-09,2018-03-27,4581,2018-04-01,9.543386066943057
203,2970923,0,26,560066,201,201,131,4,0,686693,2017-09-28,2016-09-28,2018-03-12,4495,2018-03-18,13.952803447897372
204,3011431,0,21,110015,233,233,131,2,0,132103,2018-02-22,2017-12-14,2018-03-23,4580,2018-03-26,10.78988606338575
205,2930527,4,2,110018,233,245,131,0,0,110083,2018-02-13,2018-02-08,2018-03-02,4432,2018-03-20,12.088032138871238
206,2973842,12,1,400059,233,245,131,0,0,380023,2017-12-08,2017-12-08,2018-03-13,4018,2018-03-27,18.39266351019054
207,2906533,0,17,800001,233,233,131,2,0,844101,2017-08-16,2017-08-10,2018-02-25,4538,2018-02-27,16.368125798601337
208,2926719,0,21,110015,233,233,131,0,0,121004,2017-04-20,2017-04-19,2018-03-01,4580,2018-03-03,12.19494513842759
209,2853484,18,12,302006,233,233,131,0,0,302039,2017-12-20,2017-12-19,2018-02-08,4392,2018-02-13,19.870441739153396
210,2856207,19,4,600024,233,233,131,0,0,600007,2017-05-24,2017-05-23,2018-02-09,4488,2018-02-13,11.513502685961633
211,2858829,0,8,700064,233,233,131,1,0,751007,2017-08-03,2017-07-22,2018-02-10,4508,2018-02-14,14.038965275764761
